nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
QN33,3,High Opportunity,0.9708432060918426,0.0,1.0,0.0,0.4567901234567901,0.3333333333333333,4.5,1.0,Low,0.9883372824367371,"BK58,BK81,QN37",1
BK58,3,High Opportunity,0.9859925440308868,0.0098039215686274,0.9667955826711128,1.0,0.5362318840579711,0.24057971014492754,4.2592592592592595,1.0,Low,0.9811152506807999,"QN33,BK81,QN37",2
QN25,3,High Opportunity,0.9057022580502508,0.0,0.932902710105148,0.0,0.0,0.0,1.0,0.5,Medium,0.8354419872621596,"SI14,QN30,BK72",3
QN44,2,Established Hub,1.0,0.0909090909090909,0.5774424305473553,3.0,0.38333333333333336,0.4166666666666667,2.857142857142857,1.0,Low,0.8309769722189422,"QN56,QN61,QN05",4
BK81,3,High Opportunity,0.7893741344382782,0.0108695652173913,0.7589669453632811,1.0,0.5018450184501845,0.3247232472324723,5.113207547169812,1.0,Low,0.8193364319206238,"QN37,BK58,QN33",5
QN37,3,High Opportunity,0.8089926148675539,0.0204081632653061,0.7316868003277153,1.0,0.4788732394366197,0.2112676056338028,2.84,1.0,Low,0.8162717660781078,"BK81,BK58,QN72",6
SI14,3,High Opportunity,0.7893741344382782,0.0,0.8130809686725075,0.0,0.0,0.0,1.0,0.5,Medium,0.7409820412443143,"QN30,BK72,QN25",7
QN05,3,High Opportunity,0.7265492444397526,0.0277777777777777,0.6100779008021014,1.0,0.4827586206896552,0.3620689655172414,3.2222222222222223,1.0,Low,0.7346508580967417,"QN72,QN37,QN61",8
QN43,3,High Opportunity,0.8299989883380211,0.024390243902439,0.7334992973199691,1.0,0.5714285714285714,0.3469387755102041,3.2666666666666666,0.5,Medium,0.7253993142631961,"SI07,QN53,QN25",9
QN30,3,High Opportunity,0.7675582344155445,0.0,0.7906098838610329,0.0,0.5490196078431373,0.2679738562091503,3.923076923076923,0.5,Medium,0.7232672473106311,"SI14,BK72,SI35",10
QN72,3,High Opportunity,0.692332552445114,0.0227272727272727,0.5999774875506784,3.0,0.5225563909774437,0.3157894736842105,3.8550724637681157,1.0,Low,0.716924015998317,"QN05,BK60,QN37",11
BK60,3,High Opportunity,0.6721542150491813,0.0157894736842105,0.6137329095334166,1.0,0.506631299734748,0.2864721485411141,4.383720930232558,1.0,Low,0.7143548498330392,"QN72,QN17,BX34",12
BK72,3,High Opportunity,0.7457457386059689,0.0,0.7681423054995564,0.0,0.0,0.0,1.0,0.5,Medium,0.7055552176422101,"QN30,SI14,SI35",13
QN17,3,High Opportunity,0.6348557294692178,0.0084033613445378,0.6120859467748109,2.0,0.5236051502145923,0.2918454935622318,4.438095238095238,1.0,Low,0.6987766704976115,"BX34,BX39,QN20",14
MN03,3,High Opportunity,0.5981939239833748,0.0,0.6161591493145652,0.0,0.48717948717948717,0.4188034188034188,3.342857142857143,1.0,Low,0.685741229319176,"MN14,QN20,BX39",15
