nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,total_restaurants,halal_restaurants
BK30,0,Low Demand,0.1602898763778846,0.0,0.165103773062528,0.0,,
BK33,0,Low Demand,0.2002854448189503,0.0355555555555555,0.0292875232464763,2.0,,
BK34,0,Low Demand,0.0,0.0027855153203342,0.0,1.0,,
BK38,0,Low Demand,0.2881908231190841,0.0122549019607843,0.2358349891502805,3.0,,
BK50,0,Low Demand,0.1721897845737544,0.0,0.1773610645810762,0.0,,
BK69,0,Low Demand,0.30166549539187,0.0205479452054794,0.2084275046979901,2.0,,
BK73,0,Low Demand,0.2850131098512346,0.0197841726618705,0.1950774414074413,2.0,,
BK76,0,Low Demand,0.1008806077800696,0.0033112582781456,0.0874252322480616,1.0,,
BK77,0,Low Demand,0.2418212387009805,0.0060975609756097,0.2187270742104209,2.0,,
BK78,0,Low Demand,0.2608559010885391,0.015,0.1940126890796004,1.0,,
BK82,0,Low Demand,0.1204845057724431,0.0074074074074074,0.0872252451325592,1.0,,
BK90,0,Low Demand,0.2620121930053556,0.0126582278481012,0.2068621968470578,3.0,,
BK91,0,Low Demand,0.0287653767310773,0.0,0.0296292712876605,0.0,,
BK95,0,Low Demand,0.0390583207204534,0.0,0.0402313375376893,0.0,,
BX36,0,Low Demand,0.1152037606375176,0.0,0.1186636110904805,0.0,,
BX63,0,Low Demand,0.2833432952498063,0.0,0.2918527868062371,0.0,,
MN01,0,Low Demand,0.2462639246907644,0.0071428571428571,0.2180991882503054,1.0,,
MN04,0,Low Demand,0.1287022875154206,0.015625,0.0547786232095816,1.0,,
MN06,0,Low Demand,0.1007484989365238,0.0,0.1037742225565854,0.0,,
MN15,0,Low Demand,0.2936242000201214,0.01669449081803,0.2193290942658826,4.0,,
MN21,0,Low Demand,0.2890053105958031,0.0156862745098039,0.219590883259045,3.0,,
MN22,0,Low Demand,0.3305655747326269,0.0211864406779661,0.2350167806268188,5.0,,
MN24,0,Low Demand,0.2476959685212139,0.0120918984280532,0.19493548659362,4.0,,
MN32,0,Low Demand,0.208843504345806,0.00418410041841,0.1942850824313717,1.0,,
MN34,0,Low Demand,0.1951508786001647,0.005524861878453,0.173506265959325,1.0,,
MN99,0,Low Demand,0.1670149771113675,0.0,0.1720308450050252,0.0,,
QN01,0,Low Demand,0.1995922984637726,0.0344827586206896,0.0339144689796502,1.0,,
QN03,0,Low Demand,0.1721051835726808,0.0,0.1772739228052027,0.0,,
QN19,0,Low Demand,0.1027887432597354,0.0,0.1058757404025254,0.0,,
QN38,0,Low Demand,0.3582685850719275,0.04,0.1698886603971261,1.0,,
QN50,0,Low Demand,0.271525228850661,0.0273972602739726,0.1432828047346923,2.0,,
QN57,0,Low Demand,0.0914083106634351,0.0,0.0941535256052333,0.0,,
QN62,0,Low Demand,0.0914083106634351,0.0,0.0941535256052333,0.0,,
QN76,0,Low Demand,0.1204845057724431,0.0192307692307692,0.0283627548206999,1.0,,
QN98,0,Low Demand,0.268190533308777,0.0163934426229508,0.1946303578636837,1.0,,
SI22,0,Low Demand,0.2925534317732353,0.0116279069767441,0.243450105951794,1.0,,
SI24,0,Low Demand,0.0801478324168968,0.0,0.0825548676799565,0.0,,
BK09,1,Growing Market,0.5054784688181406,0.0223880597014925,0.4092004878866897,1.0,,
BK17,1,Growing Market,0.4200914244835033,0.0482758620689655,0.1923668930042474,2.0,,
BK21,1,Growing Market,0.5450932449647148,0.0108695652173913,0.5073497038347308,1.0,,
BK23,1,Growing Market,0.4897039143106066,0.0285714285714285,0.3621683439808776,1.0,,
BK26,1,Growing Market,0.4897039143106066,0.0277777777777777,0.3661195266352021,1.0,,
BK28,1,Growing Market,0.5155927563298833,0.0040816326530612,0.5107568988091693,1.0,,
BK29,1,Growing Market,0.5655604401370483,0.0144927536231884,0.5103935711236037,1.0,,
BK32,1,Growing Market,0.434260473545537,0.0088105726872246,0.40343902746904,1.0,,
BK35,1,Growing Market,0.3279310739992077,0.0,0.3377796455097046,0.0,,
BK37,1,Growing Market,0.3833481195061672,0.0185185185185185,0.3026667383804747,2.0,,
BK43,1,Growing Market,0.5621855657050568,0.0229885057471264,0.4646213227466039,1.0,,
BK46,1,Growing Market,0.3931259923281354,0.04,0.2057929207735544,1.0,,
BK61,1,Growing Market,0.5441965409865992,0.0139372822299651,0.4911534707318387,2.0,,
BK64,1,Growing Market,0.363540173570695,0.0279720279720279,0.2351997077795469,2.0,,
BK68,1,Growing Market,0.555047553291498,0.0132450331125827,0.5057767208610369,2.0,,
BK79,1,Growing Market,0.3749520330155504,0.0227272727272727,0.2730652555465136,1.0,,
BX14,1,Growing Market,0.4468517887148048,0.0,0.4602718398922722,0.0,,
BX26,1,Growing Market,0.4269794082961786,0.0,0.4398026433279546,0.0,,
BX41,1,Growing Market,0.4007491603265086,0.0,0.4127846369134476,0.0,,
MN09,1,Growing Market,0.3758177925058808,0.0155440414507772,0.3097186620253064,2.0,,
MN11,1,Growing Market,0.4537345570764828,0.018348623853211,0.3760128715897188,2.0,,
MN12,1,Growing Market,0.382142837993659,0.0144927536231884,0.3214674901740937,1.0,,
MN13,1,Growing Market,0.4384712649320295,0.0142045454545454,0.3809224389491598,4.0,,
MN17,1,Growing Market,0.4072665141130224,0.0044943820224719,0.397122486156227,2.0,,
MN19,1,Growing Market,0.4093632757535468,0.0149006622516556,0.3474746551112651,3.0,,
MN20,1,Growing Market,0.5016186148221246,0.0137362637362637,0.4482975939876025,3.0,,
