nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,halal_demand_forecast_norm,final_score_adjusted
BK58,3,High Opportunity,0.9859925440308868,0.0098039215686274,0.9667955826711128,1.0,0.5362318840579711,0.2405797101449275,4.2592592592592595,1.0,0.9811152506808,"QN33,BK81,QN37",1,0.9999999999999998,High,Medium-High Risk,High confidence,0.7359413552947169,1.9528777308510705,0.9919303865368183,0.9166697956155028
QN33,3,High Opportunity,0.9708432060918426,0.0,1.0,0.0,0.4567901234567901,0.3333333333333333,4.5,1.0,0.9883372824367372,"BK58,BK81,QN37",2,0.9999999999999998,High,High Risk,High confidence,0.6847100857787698,1.9528777308510705,0.8951242310776649,0.9152848853200853
QN25,3,High Opportunity,0.9057022580502508,0.0,0.932902710105148,0.0,0.0,0.0,1.0,0.5,0.8354419872621596,"SI14,QN30,BK72",3,1.3672367006559233e-73,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.872016408688837
SI14,3,High Opportunity,0.7893741344382782,0.0,0.8130809686725075,0.0,0.0,0.0,1.0,0.5,0.7409820412443143,"QN30,BK72,QN25",4,2.7357244626108326e-78,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.7734211451668768
BK72,3,High Opportunity,0.7457457386059689,0.0,0.7681423054995564,0.0,0.0,0.0,1.0,0.5,0.7055552176422101,"QN30,SI14,SI35",5,3.286400955765055e-80,Low,Medium-Low Risk,Low confidence,0.6247276940600759,1.9528777308510705,0.7817820322136639,0.7607142568309382
QN44,2,Established Hub,1.0,0.0909090909090909,0.5774424305473553,3.0,0.3833333333333333,0.4166666666666667,2.857142857142857,1.0,0.8309769722189422,"QN56,QN61,QN05",6,1.0,High,High Risk,High confidence,0.4426794593010697,1.1878139742385327,0.4377852919092093,0.7372525335760804
BK81,3,High Opportunity,0.7893741344382782,0.0108695652173913,0.7589669453632811,1.0,0.5018450184501845,0.3247232472324723,5.113207547169812,1.0,0.8193364319206238,"QN37,BK58,QN33",7,1.0000000000000004,High,High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.7269249094492489
QN37,3,High Opportunity,0.8089926148675539,0.0204081632653061,0.7316868003277153,1.0,0.4788732394366197,0.2112676056338028,2.84,1.0,0.8162717660781078,"BK81,BK58,QN72",8,1.0000000000000004,High,High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.7242059019045204
SI35,3,High Opportunity,0.7067227056690274,0.0,0.7279473155237498,0.0,0.0,0.0,1.0,0.5,0.6738680084771108,"BK85,BK72,BX29",9,5.321225574186342e-82,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.7033689587570537
SI07,3,High Opportunity,0.7288956249858847,0.0217391304347826,0.6425580951727384,2.0,0.0,0.0,1.0,0.5,0.6485814880634492,"QN43,QN53,BK75",10,3.7680990425744474e-81,Low,Medium-Low Risk,Low confidence,0.6428223475572262,1.9528777308510705,0.8159735300230124,0.7015040206957203
BK85,3,High Opportunity,0.685775417508912,0.0,0.7063709291117366,0.0,0.0,0.0,1.0,0.5,0.6568585386482594,"SI35,BX29,BK72",11,5.448953456557071e-83,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6856148393567779
BK75,3,High Opportunity,0.6719654258423496,0.0103092783505154,0.6408215489838189,2.0,0.0,0.0,1.0,0.5,0.6251147899304674,"BK45,SI35,BK85",12,9.724120493895917e-84,Low,Medium-Low Risk,Low confidence,0.48319429808903874,1.9528777308510705,0.5143417742913179,0.6572670549493256
QN05,3,High Opportunity,0.7265492444397526,0.0277777777777777,0.6100779008021014,1.0,0.4827586206896552,0.3620689655172414,3.2222222222222223,1.0,0.7346508580967417,"QN72,QN37,QN61",13,1.0000000000000002,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6517908733131053
QN43,3,High Opportunity,0.8299989883380211,0.024390243902439,0.7334992973199691,1.0,0.5714285714285714,0.3469387755102041,3.2666666666666666,0.5,0.7253993142631961,"SI07,QN53,QN25",14,1.0000000000000002,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6435827949200803
QN30,3,High Opportunity,0.7675582344155445,0.0,0.7906098838610329,0.0,0.5490196078431373,0.2679738562091503,3.923076923076923,0.5,0.7232672473106311,"SI14,BK72,SI35",15,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6416912000683781
BK60,3,High Opportunity,0.6721542150491813,0.0157894736842105,0.6137329095334166,1.0,0.506631299734748,0.2864721485411141,4.383720930232558,1.0,0.7143548498330392,"QN72,QN17,BX34",16,1.0,High,Medium-High Risk,High confidence,0.49198203126604884,1.9528777308510705,0.5309469974705403,0.6394408101831098
QN72,3,High Opportunity,0.692332552445114,0.0227272727272727,0.5999774875506784,3.0,0.5225563909774437,0.3157894736842105,3.855072463768116,1.0,0.716924015998317,"QN05,BK60,QN37",17,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6360634107163159
BK45,3,High Opportunity,0.6515415892594641,0.0103092783505154,0.6197843346790475,1.0,0.0,0.0,1.0,0.5,0.6085303695754046,"BK75,BK63,BX29",18,9.835279011943006e-85,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6351709341234234
QN17,3,High Opportunity,0.6348557294692178,0.0084033613445378,0.6120859467748109,2.0,0.5236051502145923,0.2918454935622318,4.438095238095238,1.0,0.6987766704976115,"BX34,BX39,QN20",19,1.0,High,Medium-High Risk,High confidence,0.5363173214832169,1.9528777308510705,0.6147225712098143,0.6304722422080963
QN61,3,High Opportunity,0.6837313820340283,0.0352422907488986,0.5288121090953835,2.0,0.5073891625615764,0.2939244663382594,4.7578125,1.0,0.6850173964517647,"QN56,QN05,QN72",20,1.0,High,High Risk,High confidence,0.5417126573665574,2.146439565664675,0.6249175503546202,0.6186515354179796
MN03,3,High Opportunity,0.5981939239833748,0.0,0.6161591493145652,0.0,0.4871794871794871,0.4188034188034188,3.342857142857143,1.0,0.685741229319176,"MN14,QN20,BX39",21,1.0,High,Medium-High Risk,High confidence,0.4322183702050285,1.9528777308510705,0.4180181101299604,0.6072454864023464
QN20,3,High Opportunity,0.5892112066987043,0.0036363636363636,0.5888030585536894,1.0,0.5294117647058824,0.3320683111954459,3.6597222222222223,1.0,0.6712057061009575,"MN14,MN03,BX39",22,1.0,High,Medium-High Risk,High confidence,0.5217438229382549,1.9528777308510705,0.5871846167718869,0.6040251917373335
BK96,3,High Opportunity,0.5887107473149187,0.0,0.606391169676915,0.0,0.0,0.0,1.0,0.5,0.5780407667967334,"BK88,QN34,MN35",23,7.776580052019591e-88,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6033465413794866
QN56,3,High Opportunity,0.6755680323640616,0.0357142857142857,0.5180537718028121,1.0,0.5285714285714286,0.2785714285714286,4.375,1.0,0.6774487216667495,"QN61,QN05,QN72",24,1.0,High,High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.6010404657580509
BX34,3,High Opportunity,0.6110821705222498,0.0101010101010101,0.579146682154884,1.0,0.4490291262135922,0.4830097087378641,2.9014084507042255,1.0,0.6760915410708535,"BX39,QN17,QN20",25,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5998363591867547
BX39,3,High Opportunity,0.6024139696977044,0.0074074074074074,0.5836282285404386,1.0,0.5247524752475248,0.2673267326732673,4.590909090909091,1.0,0.6744168792952572,"BX34,QN20,QN17",26,0.9999999999999999,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5983505795824844
MN14,3,High Opportunity,0.5860237908880146,0.0,0.6036235173824518,0.0,0.4724919093851132,0.343042071197411,3.5930232558139537,1.0,0.6758589233081866,"MN03,QN20,BX39",27,0.9999999999999998,High,Medium-High Risk,High confidence,0.4210569862127876,1.9528777308510705,0.3969276572854169,0.5972827882341125
BK25,2,Established Hub,0.7323017108379446,0.0687022900763358,0.4122608466786669,2.0,0.0,0.0,1.0,0.5,0.5578250230066446,"BK44,BK83,QN06",28,3.4375613819699847e-81,Low,Medium-Low Risk,Low confidence,0.5213045901403925,2.439665282554362,0.5863546463472932,0.5905333524155179
BK63,3,High Opportunity,0.603752136329701,0.0136986301369863,0.5536857932307029,1.0,0.0,0.0,1.0,0.5,0.5629751718241616,"QN55,BK40,SI12",29,3.6923786805433494e-87,Low,Medium-Low Risk,Low confidence,0.421052206403785,1.9528777308510705,0.3969186254004423,0.585320704957664
QN06,1,Growing Market,0.6300463019788602,0.037037037037037,0.4645796081897695,2.0,0.0,0.0,1.0,0.5,0.5378503640674519,"QN53,BK25,SI12",30,5.906860258931365e-86,Low,Medium-Low Risk,Low confidence,0.6134427614666761,0.9560772725913671,0.7604581230210044,0.5787516318999417
BK40,3,High Opportunity,0.585799918117326,0.0151515151515151,0.5279612523101012,1.0,0.0,0.0,1.0,0.5,0.5455044681709709,"BK63,QN55,BK68",31,4.259484251674148e-88,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5693858514545715
BK29,1,Growing Market,0.5655604401370483,0.0144927536231884,0.5103935711236037,1.0,0.5191082802547771,0.3439490445859872,3.925,1.0,0.630381604504261,"QN41,BK61,BK21",32,1.0,High,Medium-High Risk,High confidence,0.5331695667396301,1.9528777308510705,0.6087746015823958,0.5684439901894127
BX29,3,High Opportunity,0.6614065845652585,0.0,0.6812702405651782,0.0,0.5578512396694215,0.3388429752066115,3.611940298507463,0.5,0.6370707300521746,"BK85,SI35,QN34",33,0.9999999999999999,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5652166371637783
BK23,1,Growing Market,0.4897039143106066,0.0285714285714285,0.3621683439808776,1.0,0.0,1.0,1.0,1.0,0.5407489033165938,"QN15,MN11,MN13",34,2.346936890130203e-50,Low,Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5644220949653977
QN42,1,Growing Market,0.5344719931130613,0.0,0.5505234931442675,0.0,0.5161290322580645,0.3548387096774194,3.576923076923077,1.0,0.6339981945029316,"SI11,QN21,MN40",35,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.562490647522774
SI08,1,Growing Market,0.4150582761759843,0.0,0.4275234904787698,0.0,0.0,1.0,1.0,1.0,0.5370327066619016,"QN18,QN07,BX41",36,1.7014950778545252e-48,Low,Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5605432086869789
QN53,3,High Opportunity,0.6843153921697094,0.0277777777777777,0.5665756627424081,2.0,0.5590277777777778,0.2604166666666667,4.430769230769231,0.5,0.6003564219648471,"SI07,SI12,QN43",37,0.9999999999999999,High,Medium-High Risk,High confidence,0.693018505967191,0.7715171701818258,0.9108237486570586,0.5567825640467908
SI11,1,Growing Market,0.5240009671855896,0.0,0.5397379967203672,0.0,0.5214285714285715,0.3428571428571428,3.4146341463414633,1.0,0.6254955855623827,"QN42,QN21,MN40",38,0.9999999999999999,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.55494703296666
BK21,1,Growing Market,0.5450932449647148,0.0108695652173913,0.5073497038347308,1.0,0.525,0.3,3.870967741935484,1.0,0.6209771795197783,"BK61,SI05,BK29",39,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5509382500352384
QN41,1,Growing Market,0.5519111048115137,0.0151515151515151,0.4930546751273316,1.0,0.5348837209302325,0.4186046511627907,4.161290322580645,1.0,0.6179863119755382,"BK61,BK29,BK21",40,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5482847172078567
BK68,1,Growing Market,0.555047553291498,0.0132450331125827,0.5057767208610369,2.0,0.0,0.0,1.0,0.5,0.524329709661014,"BK40,BK63,QN55",41,1.0397562181741293e-89,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5472840931610758
BK61,1,Growing Market,0.5441965409865992,0.0139372822299651,0.4911534707318387,2.0,0.5069551777434312,0.2998454404945904,4.556338028169014,1.0,0.6141400046873753,"QN41,BK21,BK29",42,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.5448722281884097
QN34,3,High Opportunity,0.6172964547465084,0.0,0.6358353757569702,0.0,0.5441860465116279,0.2790697674418604,4.886363636363637,0.5,0.6012527322013915,"BK96,BX29,BK85",43,1.0,High,Medium-High Risk,High confidence,0.553720642841772,1.9528777308510705,0.6476077339016635,0.5441617755204485
