market_type,demand_score_mean,halal_supply_rate_mean,gap_score_mean,nta_count
Established Hub,0.6604689035856898,0.10509398440758488,0.2101013615885644,12
Growing Market,0.4477244456951778,0.014351883184330427,0.3897199959067896,60
High Opportunity,0.6914581401729595,0.010495660197668354,0.6599717769705601,35
Low Demand,0.1923283195325901,0.010342448832756439,0.14698943101051132,37
