nta,restaurant_count,halal_count,halal_share,avg_rating,total_review_count
BK0101,22,3,0.13636363636363635,3.4045454545454548,2734
BK0102,53,13,0.24528301886792453,3.830188679245283,22998
BK0103,9,1,0.1111111111111111,2.6444444444444444,78
BK0104,21,6,0.2857142857142857,3.3761904761904766,2766
BK0201,22,6,0.2727272727272727,3.527272727272727,2876
BK0202,37,10,0.2702702702702703,3.9702702702702704,5641
BK0203,14,4,0.2857142857142857,3.6,1067
BK0204,15,3,0.2,3.4,1093
BK0301,34,14,0.4117647058823529,3.567647058823529,2167
BK0302,25,5,0.2,3.188,522
BK0401,24,4,0.16666666666666666,2.85,2093
BK0402,15,3,0.2,3.02,374
BK0501,7,1,0.14285714285714285,1.3571428571428572,89
BK0502,5,1,0.2,2.5,12
BK0503,3,0,0.0,3.0,2
BK0504,2,0,0.0,3.25,593
BK0505,6,4,0.6666666666666666,2.35,144
BK0601,28,3,0.10714285714285714,3.5321428571428575,10764
BK0602,27,8,0.2962962962962963,3.8333333333333335,6464
BK0701,7,3,0.42857142857142855,2.914285714285714,620
BK0702,11,3,0.2727272727272727,3.2454545454545456,321
BK0703,8,1,0.125,3.3375,940
BK0801,17,3,0.17647058823529413,3.8882352941176466,5444
BK0802,17,1,0.058823529411764705,3.2294117647058824,1703
BK0901,23,4,0.17391304347826086,3.4826086956521736,672
BK0902,16,4,0.25,3.15625,887
BK1001,63,27,0.42857142857142855,3.7587301587301587,7002
BK1002,3,1,0.3333333333333333,2.4,397
BK1101,14,4,0.2857142857142857,3.7285714285714286,526
BK1102,14,7,0.5,3.457142857142857,1311
BK1103,12,7,0.5833333333333334,3.5,5333
BK1201,5,0,0.0,3.6399999999999997,1218
BK1202,43,2,0.046511627906976744,2.7372093023255815,628
BK1203,15,9,0.6,2.7666666666666666,692
BK1204,11,0,0.0,3.3,266
BK1301,1,1,1.0,0.0,0
BK1302,6,3,0.5,2.033333333333333,41
BK1303,12,2,0.16666666666666666,3.3166666666666664,1445
BK1401,29,11,0.3793103448275862,2.793103448275862,1117
BK1402,37,10,0.2702702702702703,3.027027027027027,2976
BK1403,44,2,0.045454545454545456,2.6113636363636363,5502
BK1501,43,4,0.09302325581395349,3.153488372093023,2319
BK1502,19,4,0.21052631578947367,3.6,1374
BK1503,16,5,0.3125,3.26875,3706
BK1601,7,2,0.2857142857142857,2.314285714285714,67
BK1602,6,5,0.8333333333333334,0.7333333333333334,13
BK1701,9,2,0.2222222222222222,2.2555555555555555,153
BK1702,3,1,0.3333333333333333,2.0,32
BK1703,3,1,0.3333333333333333,3.4,8
BK1704,7,4,0.5714285714285714,1.9000000000000001,12
BK1801,13,7,0.5384615384615384,2.784615384615385,401
BK1802,13,2,0.15384615384615385,3.0384615384615383,251
BK1803,4,1,0.25,2.65,56
BX0101,8,4,0.5,2.85,40
BX0102,17,7,0.4117647058823529,2.1470588235294117,127
BX0202,3,1,0.3333333333333333,0.6666666666666666,5
BX0301,6,3,0.5,1.1333333333333333,8
BX0302,6,1,0.16666666666666666,0.8333333333333334,1
BX0303,1,1,1.0,0.0,0
BX0401,17,5,0.29411764705882354,2.3058823529411767,92
BX0403,6,0,0.0,1.55,6
BX0501,7,0,0.0,2.314285714285714,61
BX0502,8,1,0.125,1.7875,34
BX0503,2,2,1.0,3.55,32
BX0601,1,0,0.0,1.0,1
BX0602,3,0,0.0,0.5,6
BX0603,9,2,0.2222222222222222,3.0999999999999996,828
BX0701,7,2,0.2857142857142857,2.885714285714286,55
BX0702,10,4,0.4,2.6100000000000003,46
BX0703,15,9,0.6,3.2266666666666666,305
BX0801,2,0,0.0,2.35,17
BX0802,8,6,0.75,3.4125,340
BX0803,9,1,0.1111111111111111,3.477777777777778,1120
BX0901,10,6,0.6,2.88,141
BX0902,1,0,0.0,4.0,1
BX0903,14,9,0.6428571428571429,2.0785714285714287,147
BX0904,20,16,0.8,2.435,1173
BX1001,4,4,1.0,2.1,20
BX1002,5,1,0.2,2.58,1112
BX1003,4,0,0.0,2.95,99
BX1004,4,1,0.25,2.1,17
BX1101,15,5,0.3333333333333333,2.9466666666666668,374
BX1102,5,3,0.6,3.3600000000000003,365
BX1103,3,1,0.3333333333333333,3.4333333333333336,66
BX1104,4,4,1.0,0.95,33
BX1161,2,0,0.0,3.6,153
BX1201,6,1,0.16666666666666666,2.466666666666667,106
BX1202,4,0,0.0,2.4749999999999996,77
BX1203,9,6,0.6666666666666666,3.211111111111111,66
MN0101,65,24,0.36923076923076925,3.6046153846153848,9480
MN0102,23,4,0.17391304347826086,3.0652173913043477,7394
MN0191,1,0,0.0,4.2,11
MN0201,22,8,0.36363636363636365,3.55,14356
MN0202,45,12,0.26666666666666666,4.082222222222222,35178
MN0203,22,3,0.13636363636363635,4.072727272727272,17139
MN0301,22,4,0.18181818181818182,3.8318181818181816,25361
MN0302,22,8,0.36363636363636365,4.295454545454546,29317
MN0303,73,17,0.2328767123287671,3.9753424657534246,57431
MN0401,46,17,0.3695652173913043,3.9108695652173915,25360
MN0402,50,10,0.2,3.986,41651
MN0501,35,12,0.34285714285714286,4.12,25935
MN0502,112,28,0.25,4.073214285714285,80711
MN0602,16,4,0.25,3.975,9246
MN0603,32,11,0.34375,3.484375,7528
MN0604,61,18,0.29508196721311475,3.6918032786885244,12311
MN0701,20,5,0.25,3.435,4657
MN0702,54,9,0.16666666666666666,3.5685185185185184,19809
MN0703,19,9,0.47368421052631576,3.8157894736842106,1747
MN0801,32,10,0.3125,3.790625,9928
MN0802,22,6,0.2727272727272727,3.3954545454545455,2732
MN0803,22,4,0.18181818181818182,3.5454545454545454,10431
MN0901,19,5,0.2631578947368421,3.478947368421052,2543
MN0902,10,3,0.3,3.3,3865
MN0903,24,2,0.08333333333333333,3.4875000000000003,3830
MN1001,22,9,0.4090909090909091,3.3636363636363638,6636
MN1002,15,5,0.3333333333333333,2.9866666666666664,288
MN1101,23,9,0.391304347826087,3.0478260869565217,262
MN1102,21,7,0.3333333333333333,2.3333333333333335,880
MN1201,19,7,0.3684210526315789,2.863157894736842,539
MN1202,16,2,0.125,3.1625,257
MN1203,5,1,0.2,4.12,43
MN6491,4,0,0.0,3.175,2571
QN0101,22,13,0.5909090909090909,3.772727272727273,7420
