zone_id,time_key,total_review_count,unique_restaurant_count,halal_related_review_count,explicit_halal_review_count,implicit_halal_review_count,not_related_review_count,halal_related_share,explicit_halal_share,implicit_halal_share,not_related_share,implicit_to_explicit_ratio,overall_positive_rate,overall_negative_rate,halal_positive_rate,halal_negative_rate,non_halal_positive_rate,non_halal_negative_rate,avg_rating,avg_confidence,dominant_subtype,subtype_gap
bk-crown-hts,2022,6,5,1,1,0,5,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6,0.4,4.0,0.9333333333333335,other,0.0
bk-crown-hts,2023,11,5,0,0,0,11,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.2727272727272727,0.0,0.0,0.5454545454545454,0.2727272727272727,3.6363636363636362,0.9,other,0.0
bk-crown-hts,2024,14,8,4,3,1,10,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.3333333333333333,0.21428571428571427,0.5,0.0,0.5,0.3,0.5,2.857142857142857,0.8714285714285713,fast_casual,0.3535533905932738
bk-crown-hts,2025,20,7,6,6,0,14,0.3,0.3,0.0,0.7,0.0,0.75,0.05,0.8333333333333334,0.0,0.7142857142857143,0.07142857142857142,4.35,0.85,other,0.16666666666666669
bk-crown-hts,2026,12,6,6,5,1,6,0.5,0.4166666666666667,0.08333333333333333,0.5,0.2,0.75,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,4.25,0.8166666666666668,south_asian,0.16666666666666669
bk-fort-greene,2022,1,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,other,0.0
bk-fort-greene,2023,1,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.8,middle_eastern,0.0
bk-fort-greene,2024,8,4,5,1,4,3,0.625,0.125,0.5,0.375,4.0,0.5,0.0,0.6,0.0,0.3333333333333333,0.0,4.25,0.7375,middle_eastern,0.0
bk-fort-greene,2025,24,7,15,4,11,9,0.625,0.16666666666666666,0.4583333333333333,0.375,2.75,0.7083333333333334,0.041666666666666664,0.8,0.0,0.5555555555555556,0.1111111111111111,4.5,0.6833333333333332,middle_eastern,0.6128258770283412
bk-fort-greene,2026,15,6,5,2,3,10,0.3333333333333333,0.13333333333333333,0.2,0.6666666666666666,1.5,0.6666666666666666,0.13333333333333333,0.8,0.2,0.6,0.1,4.333333333333333,0.5533333333333332,middle_eastern,0.0
bk-tandon,2022,3,2,1,1,0,2,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,0.0,4.666666666666667,0.9333333333333332,street_food,0.0
bk-tandon,2023,7,5,4,2,2,3,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0,0.5714285714285714,0.14285714285714285,0.5,0.25,0.6666666666666666,0.0,3.5714285714285716,0.8857142857142858,street_food,0.0
bk-tandon,2024,15,9,6,3,3,9,0.4,0.2,0.2,0.6,1.0,0.6666666666666666,0.26666666666666666,0.8333333333333334,0.16666666666666666,0.5555555555555556,0.3333333333333333,3.8666666666666667,0.8866666666666667,middle_eastern,0.09622504486493762
bk-tandon,2025,46,15,19,6,13,27,0.41304347826086957,0.13043478260869565,0.2826086956521739,0.5869565217391305,2.1666666666666665,0.6956521739130435,0.13043478260869565,0.8421052631578947,0.10526315789473684,0.5925925925925926,0.14814814814814814,4.130434782608695,0.8760869565217391,middle_eastern,0.19867985355975654
bk-tandon,2026,33,12,18,5,13,15,0.5454545454545454,0.15151515151515152,0.3939393939393939,0.45454545454545453,2.6,0.6666666666666666,0.12121212121212122,0.7777777777777778,0.0,0.5333333333333333,0.26666666666666666,4.181818181818182,0.8363636363636363,middle_eastern,0.17272924172386692
bk-williamsburg,2022,7,5,4,2,2,3,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.857142857142857,0.8142857142857143,middle_eastern,0.14433756729740643
bk-williamsburg,2023,23,14,11,9,2,12,0.4782608695652174,0.391304347826087,0.08695652173913043,0.5217391304347826,0.2222222222222222,0.6086956521739131,0.21739130434782608,0.9090909090909091,0.0,0.3333333333333333,0.4166666666666667,3.869565217391304,0.8304347826086955,street_food,0.13886593015017695
bk-williamsburg,2024,34,21,13,8,5,21,0.38235294117647056,0.23529411764705882,0.14705882352941177,0.6176470588235294,0.625,0.5588235294117647,0.058823529411764705,0.6153846153846154,0.07692307692307693,0.5238095238095238,0.047619047619047616,4.029411764705882,0.8470588235294116,middle_eastern,0.1166596222161777
bk-williamsburg,2025,126,42,36,23,13,90,0.2857142857142857,0.18253968253968253,0.10317460317460317,0.7142857142857143,0.5652173913043478,0.6349206349206349,0.14285714285714285,0.6111111111111112,0.1388888888888889,0.6444444444444445,0.14444444444444443,4.079365079365079,0.8246031746031749,other,0.11111111111111112
bk-williamsburg,2026,115,35,34,25,9,81,0.2956521739130435,0.21739130434782608,0.0782608695652174,0.7043478260869566,0.36,0.7217391304347827,0.14782608695652175,0.6764705882352942,0.17647058823529413,0.7407407407407407,0.13580246913580246,4.208695652173913,0.8547826086956523,middle_eastern,0.1491034335957244
mn-chelsea,2022,2,2,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,2.0,0.9,other,0.0
mn-chelsea,2023,11,5,4,4,0,7,0.36363636363636365,0.36363636363636365,0.0,0.6363636363636364,0.0,0.5454545454545454,0.36363636363636365,0.5,0.5,0.5714285714285714,0.2857142857142857,3.6363636363636362,0.9363636363636364,street_food,0.0
mn-chelsea,2024,17,10,9,6,3,8,0.5294117647058824,0.35294117647058826,0.17647058823529413,0.47058823529411764,0.5,0.6470588235294118,0.11764705882352941,0.5555555555555556,0.1111111111111111,0.75,0.125,4.117647058823529,0.8999999999999999,south_asian,0.1924500897298753
mn-chelsea,2025,67,20,20,14,6,47,0.29850746268656714,0.208955223880597,0.08955223880597014,0.7014925373134329,0.42857142857142855,0.6567164179104478,0.13432835820895522,0.6,0.3,0.6808510638297872,0.06382978723404255,4.074626865671642,0.8955223880597015,south_asian,0.11547005383792516
mn-chelsea,2026,47,18,8,8,0,39,0.1702127659574468,0.1702127659574468,0.0,0.8297872340425532,0.0,0.7659574468085106,0.06382978723404255,0.875,0.0,0.7435897435897436,0.07692307692307693,4.276595744680851,0.9191489361702126,south_asian,0.10206207261596575
