restaurant_id,latitude,longitude,nta,zone_id,in_manhattan_nta,in_modeled_microzone
8IBU9uYFKOx6z7mINNPrgw,40.70547802082922,-74.00726966931154,MN25,mn-fidi,True,True
9LB_SFCfDFDmtWYp8yEAVA,40.706137,-74.008915,MN25,mn-fidi,True,True
IZx0xAVqFGFKXsfE1f8HSQ,40.706241,-74.008506,MN25,mn-fidi,True,True
rLm8QT7sRFQJ1QDL4LE70g,40.70694642452369,-74.0052542,MN25,mn-fidi,True,True
G4Y3yF4UfcCNSj0JFQQVDw,40.71461,-74.00774,MN24,,True,False
hnODPHQIO14uVWIa3cztyA,40.7090336335426,-74.00914125144482,MN25,mn-fidi,True,True
USQxn9Arz6tl-4AqtqpCkg,40.707047,-74.008054,MN25,mn-fidi,True,True
TL-YbRD4L7gIIB2OrL8WKQ,40.704805,-74.0088,MN25,mn-fidi,True,True
ytjyvADCulNOL7CzGzXY3A,40.71247406169088,-74.0083772,MN24,,True,False
0WunNhGa1dKYMm1N0dXs6Q,40.706984141361886,-74.0063475588956,MN25,mn-fidi,True,True
rcqOGQQPJ8e2Jpj4dDN9Ng,40.71424,-74.00642,MN24,,True,False
a9BOZjk6nPaVZ1CWy4C5rA,40.711258,-74.007492,MN25,mn-fidi,True,True
LMuEESylhcBthCa9XBmIzw,40.70971684475851,-74.01225057328158,MN25,mn-fidi,True,True
W-Wumt6vj_llkLQxIqSvpw,40.71447050638881,-74.006618,MN24,,True,False
JD5KWviP-TRkTYEvOO12kQ,40.70679620601047,-74.00703710455826,MN25,mn-fidi,True,True
7VNbCTch5K3mLdL_9ebO9g,40.71394198484709,-74.00762457552258,MN24,,True,False
QY2VGbMfun6BCJCT6l_lcg,40.70925,-74.0088,MN25,mn-fidi,True,True
aXMoRIGoIZmkK1oS1gq2OA,40.71424,-74.00642,MN24,,True,False
aHW8OJTCTKqfh71dJYl1GA,40.70993,-74.0066,MN25,mn-fidi,True,True
H5l94JmWedmrFuiIigITWg,40.71357,-74.01125,MN24,,True,False
j18_IH_wTXJfEF5S8i0uEA,40.70912,-74.00578,MN25,mn-fidi,True,True
v2xUesJo2xYkz28uHEs4Nw,40.71455,-74.00714,MN24,,True,False
03yRmvUeFJUIvk1nB5mT2A,40.69151807585965,-73.99778752925549,,,False,False
8mmM20X369_Do04kW7-TTA,40.714399,-73.99073,MN28,,True,False
AqKHTQgO1ls2_nd2cBVzng,40.6916465759277,-73.9912719726562,,,False,False
SwFr8vVU9j2Wlo-QejpRGA,40.69059,-73.99503,,,False,False
wctR1TrheHAwpHZ2sJknEw,40.68989,-73.99366,,,False,False
QX0_mfTGs8bwLbR3zzg6uw,40.6926054,-73.9884963,,,False,False
bNO0801dOoSSFJuDdTDzYQ,40.689838,-73.993853,,,False,False
IDZY4djM-hTL_UicyiHqFQ,40.715514,-73.993458,MN27,,True,False
rX9Mto9HGhc7rqmCawHi_Q,40.70253949318147,-73.9940383666421,,,False,False
fPW_GBZsnBNsIzK62sCHBg,40.71509589423776,-73.997342,MN27,,True,False
7bpZZUpEclhn29wWVqFsKA,40.70261145828371,-73.98691917385983,,,False,False
IXH26OJiL2hUSwNW_NJEhQ,40.6967,-73.99003,,,False,False
97q5nUQTuBo_h00XCxna2A,40.7142,-73.99787,MN27,,True,False
OuHB-EdeXmQ26QDzAsDxyw,40.69395378909037,-73.9924374,,,False,False
zvy4KOv2afqUSGin54_xxg,40.6870474589747,-73.9938177876969,,,False,False
njKwUg6oYDEEtLuunTmgbg,40.698551,-73.992706,,,False,False
bMfJefltCW8ciJN9bPzdgQ,40.69019266887132,-73.99510338220567,,,False,False
89x1vJMamQTfazh2Gu1vzg,40.6929057149877,-73.98847946443622,,,False,False
bnDfFdiCcPzhuNWUJORvLQ,40.71624115699229,-73.99797251027432,MN27,,True,False
wqOBqXkMar3xPOHfkWGwDA,40.68831,-73.98881,,,False,False
fCvx-fszu-aGm3jLd1o0_Q,40.6923219769743,-73.9866686999991,,,False,False
qIld_LZfvdHdd0pT5za8fg,40.69133069693946,-73.9909455628283,,,False,False
p2sAfaFyfFj9nYPyqcmQdw,40.702355071402245,-73.9866978,,,False,False
GHA89UOpqFmylJ5dO03NfQ,40.68751,-73.99007,,,False,False
xU3kDzDHb7LfGFCYzlgvRQ,40.71613216930773,-73.98670021444559,MN28,,True,False
0CjK3esfpFcxIopebzjFxA,40.7156608,-73.9967012,MN27,,True,False
-_S0v-bHKi82LH_ZGGtmIA,40.69242393374325,-73.99096727495841,,,False,False
ByJBXa3HwPqw8eSPfDObkg,40.699657772028765,-73.99217437260721,,,False,False
nGpC40fxoDQ-Ft0h-_gkVg,40.6869769801458,-73.984394049936,,,False,False
hjxF8xPede1ysDZknVpflw,40.685397,-73.991663,,,False,False
6lHhC-WND3Vs2DhTnDtgjQ,40.68484955586048,-73.9949452,,,False,False
6G0urbBDz_CnYnGXApgUcw,40.690171405171526,-73.99346702043503,,,False,False
HcWm-9ZZu2_brnuRxN5Gpg,40.70021198326452,-73.99331599999907,,,False,False
EBXhdu6rhlKQKZShBKUEfQ,40.68773,-73.98441,,,False,False
QCH2dABKl4Ce-SOSuPk47Q,40.714158,-73.990942,MN28,,True,False
HhW7sIcSq7mo6BXph1S0XA,40.69191342310669,-73.98707773536444,,,False,False
S1scNP7ijgAXkbD-cIxl5A,40.711464,-73.99432,MN27,,True,False
vA2VEhW6S1ioX6tXtQdO9A,40.688684,-73.993137,,,False,False
ZP2uwlP0s21sh0wlPR-9Sw,40.7120098,-73.9966423,MN27,,True,False
CBf1A4zCRNH-jsrJh48RsA,40.690218,-73.993367,,,False,False
LUKW4vzYqS9CVN_76Gj-jQ,40.68979,-73.985,,,False,False
rkeH5HJIuX7ZcOaYNum9xA,40.7139415501646,-73.9899386554248,MN28,,True,False
