nta,median_household_income,population_16plus,inspection_count,avg_score,critical_violation_rate,trip_count,unique_start_station_count,restaurant_count,halal_count,halal_share,avg_rating,total_review_count
MN01,68523.0,31823,1260,25.84313725490196,0.5476190476190477,2077,13,5.0,1.0,0.2,4.12,42.0
MN03,51386.0,70709,982,26.69367369589345,0.5285132382892057,18929,26,15.0,5.0,0.3333333333333333,2.98,287.0
MN04,68527.0,45434,1235,26.458081244598095,0.5214574898785425,8069,18,24.0,2.0,0.0833333333333333,3.4875000000000003,3827.0
MN06,46819.0,18085,453,25.905882352941177,0.5143487858719646,7609,12,10.0,3.0,0.3,3.3,3860.0
MN09,87452.0,34703,1819,26.992945326278655,0.519516217702034,14648,11,18.0,5.0,0.2777777777777778,3.672222222222222,2540.0
MN11,74007.0,40837,1195,27.061717352415027,0.5163179916317991,25573,13,21.0,8.0,0.3809523809523809,3.5142857142857142,6623.0
MN12,129749.0,129529,3794,22.80543113101904,0.5142329994728518,75418,33,73.0,18.0,0.2465753424657534,3.587671232876712,21505.0
MN13,154276.0,84119,8747,23.962155541947336,0.507716931519378,308404,64,135.0,47.0,0.3481481481481481,3.8533333333333335,83149.0
MN14,164712.0,58260,1929,23.943301834352415,0.505443234836703,58612,14,27.0,6.0,0.2222222222222222,3.5407407407407407,10453.0
MN15,105839.0,51733,5536,24.76927513939627,0.5276372832369942,81789,20,71.0,11.0,0.1549295774647887,3.640845070422535,48301.0
MN17,148446.0,20454,17134,23.445284669708144,0.5004085444146142,133327,42,173.0,46.0,0.2658959537572254,3.6867052023121385,105040.0
MN19,170196.0,37976,5146,22.989525569932223,0.5151574038087835,56891,18,74.0,20.0,0.2702702702702703,3.6337837837837834,13485.0
MN20,141463.0,50375,3765,25.993744668751777,0.5120849933598938,93293,23,42.0,11.0,0.2619047619047619,3.5,12829.0
MN21,153720.0,23913,2569,28.236701030927836,0.5469054106656287,37801,10,25.0,5.0,0.2,3.928,13666.0
MN22,76136.0,63253,6118,24.350500966777993,0.5215756783262504,147146,39,82.0,17.0,0.2073170731707317,3.8829268292682926,58338.0
MN23,171345.5,59263,8454,22.354850934815563,0.5274426307073574,174083,42,72.0,16.0,0.2222222222222222,4.0625,54632.0
MN24,166450.0,39618,8071,24.421500798296968,0.5190187089579977,132093,43,58.0,14.0,0.2413793103448276,3.3517241379310345,41973.0
MN25,198961.0,42669,5368,24.011890366787583,0.4996274217585693,71975,34,65.0,24.0,0.3692307692307692,3.5953846153846154,9428.0
MN27,34385.0,33951,6952,27.57265349869851,0.5414269275028769,46545,17,24.0,5.0,0.2083333333333333,3.795833333333333,27579.0
MN28,58841.0,40677,1676,24.825063613231553,0.5298329355608592,73830,22,50.0,11.0,0.22,3.702,45176.0
MN31,137355.0,68256,2800,23.838941398865785,0.5146428571428572,51033,16,33.0,10.0,0.303030303030303,3.633333333333333,9501.0
MN32,147475.0,70123,2171,22.434235976789168,0.5158912943344081,33304,14,21.0,4.0,0.1904761904761904,3.5142857142857142,10324.0
MN33,42076.0,49182,1526,27.993728222996516,0.5209698558322412,20675,16,23.0,9.0,0.391304347826087,3.0478260869565217,262.0
MN34,39957.0,51381,1692,24.323622545915136,0.5029550827423168,23568,27,20.0,7.0,0.35,2.2,878.0
MN35,78465.0,64582,1424,26.27107061503417,0.5428370786516854,6063,23,16.0,2.0,0.125,3.1625,258.0
MN36,56929.0,65546,2214,27.672656629431764,0.5311653116531165,7534,21,18.0,6.0,0.3333333333333333,2.966666666666667,536.0
MN40,200000.0,46036,3277,23.57904884318766,0.5230393652731157,37566,17,24.0,6.0,0.25,3.4166666666666665,2804.0
MN50,160855.0,19394,128,18.389830508474574,0.46875,21264,7,0.0,0.0,0.0,0.0,0.0
MN99,,2335,65,11.95744680851064,0.2769230769230769,42863,27,5.0,0.0,0.0,3.3600000000000003,2578.0
