id,name,categories,rating,review_count,price,latitude,longitude,is_closed,search_term,anchor_name
_DIj0hDYMM24TeyD3tmIyQ,Apna Pizza Burger & Hot Chicken,"Halal, Burgers, Pizza",5.0,1,,40.579092,-74.101495,False,halal,grid_r03_c05
zzgIczguKLVIsP2wo8cnRg,Home Frite,"New American, Burgers, Food Stands",4.1,9,,40.571144,-74.111543,False,halal,grid_r03_c05
34KbSwYbG9slCC07tOBD7g,Old Bukhara,"Uzbek, Halal, Kebab",0.0,0,,40.567906657436794,-74.1106076,False,halal,grid_r03_c05
I1nkx6G1oZLwgk-7os06-w,Tex's Chicken & Burgers,"Chicken Wings, Burgers, American",2.0,4,,40.57624589490235,-74.10328799999999,False,halal,grid_r03_c05
p-JaS3lxVQGdJp4ikjzqfg,Taste of India II,Indian,4.1,287,$$,40.57219,-74.11273,False,halal,grid_r03_c05
mhnKoH53Gv4QyZFabf8SoQ,Yafa Shawarma & Burritto,"Halal, Food Trucks",5.0,2,,40.59612146824997,-74.07526138902837,False,halal,grid_r03_c06
tFjn-akT7Bjp1mlmllZnTA,Chinar On The Island,"Mediterranean, Bars, Venues & Event Spaces",3.8,79,$$$,40.59279255720857,-74.0680096,False,halal,grid_r03_c06
9e78dH4McZRT5WcoSCI-zg,Hylan Curry & Grill ,Indian,4.3,86,,40.5922622,-74.08710649999999,False,halal,grid_r03_c06
WZhJ_8mOwDebhpe0P9-1xw,Fresh halal grill ,"Halal, Middle Eastern",0.0,0,,40.59504056384947,-74.001486,False,halal,grid_r03_c08
xti_Bg4PHi8bh6ByZMiVHQ,Manny's Gourmet & Grill,"Salad, Juice Bars & Smoothies, Pizza",0.0,0,,40.577387,-74.001001,False,halal,grid_r03_c08
0MkkpBLm5WEUK2MzTxacSw,Habibi Moroccan Halal Food,"Halal, Food Trucks, Juice Bars & Smoothies",5.0,4,,40.57637909833812,-73.98125036739769,False,halal,grid_r03_c09
vyoA8dxwScuMV_AsTcjQcg,L&B Spumoni Gardens,"Pizza, Italian",4.2,5047,$$,40.594715,-73.981316,False,halal,grid_r03_c09
_N0BdBFrdKpcWbwPgaabNQ,Subway,"Sandwiches, Fast Food",1.8,30,$,40.57635196807049,-73.9812238,False,halal,grid_r03_c09
bN8QXaZNScEKpT5kdx_cbw,Zinger Halal Express,"Fast Food, Halal, Burgers",3.0,3,,40.590775,-73.969471,False,halal,grid_r03_c09
yUDokkZgCkRSj6JS6OkTtA,Gyro Qila,Greek,1.4,5,,40.575629,-73.99736,False,halal,grid_r03_c09
RMYEawdup3XLLZs440uU_Q,United  Express,Delis,3.9,9,,40.5902437147461,-73.9739583805203,False,halal,grid_r03_c09
PjI9n2L1vSw1kyvDek10NA,Coney Island Halal Food,"Food Trucks, Halal",0.0,0,,40.57697,-73.9815,False,halal,grid_r03_c09
8ZhnRm27cPamnSWi8gd5oQ,Bismillah Halal Food,"Halal, Middle Eastern",0.0,0,,40.5902373249819,-73.9723932681236,False,halal,grid_r03_c09
6naIaI6flbQveYgfcZnSaQ,New York Fried Chicken & Pizza,"Pizza, Delis",0.0,0,,40.59252,-73.97793,False,halal,grid_r03_c09
TemMTqYoDJ53doNF-PCKZA,Cafe Kashkar,"Turkish, Halal, Uzbek",4.0,322,$$,40.57777770832956,-73.95549788632697,False,halal,grid_r03_c10
CC-JHOEnzqb4Npj-SUDvfg,GOSHT,"Steakhouses, Halal, American",3.8,113,,40.57729585,-73.95952486,False,halal,grid_r03_c10
nQELtzEnRpXkEI2TkTmz_Q,Omar Khayyam,"Modern European, Middle Eastern",4.2,68,,40.57904,-73.95952,False,halal,grid_r03_c10
h6MxdL-RSrcZNqkhA5lq_w,Beyti Turkish Kebab,"Mediterranean, Turkish, Kebab",3.8,240,$$,40.577072,-73.9627471,False,halal,grid_r03_c10
5T96_u2DdwRTD6tk9qISEA,Gyro Express,"Middle Eastern, Salad, Seafood",3.5,29,$,40.57899,-73.9599,False,halal,grid_r03_c10
sy0SxGLJ8TgxxaEw6PXopA,Halal Munchies,"Mediterranean, Halal, Fast Food",4.5,2,,40.59065282907715,-73.9402506,False,halal,grid_r03_c10
PlzFDzj5Ldv5PiXYiUHfgg,Cafe Euroasia,"Cafes, Russian, Middle Eastern",4.3,139,$$,40.577404,-73.961243,False,halal,grid_r03_c10
W6K1tlv4w0liZbOzNSOl6Q,Jannat Aden Restaurant,"Halal, Middle Eastern",4.7,3,,40.589025399062905,-73.9428078350025,False,halal,grid_r03_c10
glccbDYpXzsozu7truCf5w,Nargis Cafe,"Middle Eastern, Uzbek, Halal",3.9,847,$$,40.58651815799407,-73.95187849999999,False,halal,grid_r03_c10
4BKaYXMJpT7sWe82f82hGA,My House Burgers & Shakes,"Burgers, Chicken Wings, New American",3.6,410,$$,40.586561,-73.952798,False,halal,grid_r03_c10
g5RU0f6w4V7o4xjlKrDetA,Opera Cafe Lounge,"Turkish, Mediterranean, Breakfast & Brunch",3.9,860,$$$,40.58387,-73.94463,False,halal,grid_r03_c10
9B811_Nz36lOe21pSGKPFw,Burchak Pide,"Turkish, Pizza, Desserts",4.7,43,$$,40.586832,-73.95294,False,halal,grid_r03_c10
XAWp4A8xJYaEX8TepS1xOg,Rocca Cafe Lounge,"Turkish, Mediterranean, Breakfast & Brunch",3.6,731,$$$,40.58354,-73.94087,False,halal,grid_r03_c10
V-ip34YRW1RyPOD5KjfZ4g,Gyro & BBQ,"Halal, Barbeque, Chicken Wings",3.3,12,,40.59428,-73.9409,False,halal,grid_r03_c10
BPvE8NAZrNnZORigPL4uQw,Tatiana Restaurant,Russian,3.2,369,$$$$,40.57542,-73.96121,False,halal,grid_r03_c10
MfYMtApnt0nVuAclTmkOeg,Palace Fried Chicken,American,3.3,28,$,40.5778503417969,-73.9617233276367,False,halal,grid_r03_c10
RPcecK-N0ELPLUlzSSmjHw,Anatolian Gyro Restaurant,Turkish,2.8,289,$$,40.5874697,-73.95314850336767,False,halal,grid_r03_c10
rS2vRYj5K3_sJmP5VEZBJA,Gourmet flaming grill & juice bar,"Delis, Juice Bars & Smoothies",0.0,0,,40.58193076012114,-73.96062066123801,False,halal,grid_r03_c10
lP0fNopAi2T01KKHArarow,The Bay Café,"Cafes, Kosher",4.3,30,,40.5828942841384,-73.9544864537733,False,halal,grid_r03_c10
aRVsenxLilxh4MQ8aFpjDg,Palmyra,"Russian, Uzbek",3.7,23,$$$,40.5918634804772,-73.960501633233,False,halal,grid_r03_c10
rlPqRxWrUHaTTqHPOIKwQg,La Casa Mia Pizzeria & Restaurante,"Pizza, Pasta Shops, Sandwiches",4.3,99,$,40.5872915,-73.9545124,False,halal,grid_r03_c10
IaztElsEcOGIMHMnVZZw2A,Salad House,"Salad, Wraps, Juice Bars & Smoothies",4.2,20,,40.59466800177793,-73.95081119999999,False,halal,grid_r03_c10
r7i68YBm10N5uaK5r2XlzQ,Retro Grill,"Sandwiches, Burgers, Kosher",3.2,92,$$,40.594441,-73.96121,False,halal,grid_r03_c10
VjuZ07nv_psJkn4xDLCw5g,Eat N Run Cafe,"Kosher, Pizza, Ice Cream & Frozen Yogurt",3.6,23,$$,40.59409,-73.96113,False,halal,grid_r03_c10
Yr1DO4PNAP9gfYjtZdkhVA,NetCost Market,"Grocery, Fruits & Veggies, Delis",3.1,104,$$,40.57841,-73.95843,False,halal,grid_r03_c10
A1LSAuiD8djauNmZZZKroQ,Brighton Deli & Grill,"Delis, Breakfast & Brunch, Sandwiches",2.3,3,,40.578312,-73.956858,False,halal,grid_r03_c10
BKCLpe6fbAx7r_tShBBQQA,Hajveri Restaurant,"Halal, Burgers, Sandwiches",0.0,0,,40.594253,-73.940913,False,halal,grid_r03_c10
cegB-TuA92uxIG00HUkxMQ,Masuta Japanese Fusion,"Japanese, Sushi Bars",3.8,389,$$,40.58563,-73.95181,False,halal,grid_r03_c10
yaObo79uE9-jFGiWJrmL-g,Tantuni New York,"Turkish, Mediterranean, Middle Eastern",0.0,0,,40.5850024,-73.95104042493459,False,halal,grid_r03_c10
m0Ak9ot3wux1TtGsM41Mbw,OLMA Caviar,"Grocery, Seafood, Kosher",5.0,1,,40.59286349801926,-73.9474421,False,halal,grid_r03_c10
emm90bgqh6-QZ8m3IZ_H9g,Kasai Kosher Hibachi,"Kosher, Japanese",3.7,79,$$$,40.595224,-73.961248,False,halal,grid_r03_c10
UATsPJnvBVQpscRhvWfxvw,Tam Tam Express,"Kosher, Sandwiches, Salad",0.0,0,,40.595003,-73.954345,False,halal,grid_r03_c10
4XOoX-yxH4npdU47WWvMNA,Kimo's,"Mediterranean, Greek, Middle Eastern",4.3,181,$$,40.586377,-73.816072,False,halal,grid_r03_c15
ZEpjkqF9FO_YIn0apPEeGQ,The Sandwich Spot,"Sandwiches, Breakfast & Brunch, Beer Bar",4.5,13,,40.5875204,-73.8126687,False,halal,grid_r03_c15
Rek0t815SJqNdRL6nRWN1g,sam food castle,"Food Delivery Services, Halal, Delis",0.0,0,,40.5842546,-73.8205763,False,halal,grid_r03_c15
y1EPQMMWBb3ROYrm7rC-cA,R&R Gourmet Deli,"Grocery, Halal, Convenience Stores",3.3,3,,40.5929406666794,-73.7956327199936,False,halal,grid_r03_c15
3uHVYfM9mbUZpz-Q6X41sA,Linden Rotisserie,"Fast Food, Puerto Rican, Comfort Food",4.6,31,,40.619768,-74.248727,False,halal,grid_r04_c00
21dM3BscrD0uO66fu9f3zw,Rahway Fried Chicken,"Ice Cream & Frozen Yogurt, American",3.8,99,$,40.6067211,-74.274101,False,halal,grid_r04_c00
CoX5sfudG5iJVLY9trtK6w,Jersey Boys Kitchen,"Pizza, New American, Cheesesteaks",4.1,8,,40.59631,-74.2674,False,halal,grid_r04_c00
bmZDfRm8rWhxoh-55q0LlQ,Dave's Hot Chicken,"Chicken Shop, Halal, Fast Food",0.0,0,,40.619179,-74.252136,False,halal,grid_r04_c00
fziIrS1oyY7Q12DhDeq7AA,Kabab Time,"Indian, Kebab",4.9,11,,40.626248,-74.164166,False,halal,grid_r04_c03
v_pYsfVTk4pKhOsnU5nm6w,McDonald's,"Burgers, Fast Food, Coffee & Tea",2.1,54,$,40.60780434313789,-74.1628693789244,False,halal,grid_r04_c03
tknrSTO8cfsSBcB9HGUbEQ,Planet Wings,"Chicken Wings, American",2.6,57,$,40.62637,-74.16332,False,halal,grid_r04_c03
2u_rAeW220aU837uYLY83A,Sandwich City,"Breakfast & Brunch, Burgers, Sandwiches",4.0,2,,40.62533702893742,-74.1491451,False,halal,grid_r04_c03
04eof11S0nWZiEIF4XJmmw,Yalla Market,"Mediterranean, Grocery, Halal",0.0,0,,40.60125911733227,-74.17725399999999,False,halal,grid_r04_c03
vy0f1zto1IA1a1Hug-NoSw,Halal Fried Chicken,"Food Delivery Services, Chicken Shop",0.0,0,,40.59911509037168,-74.16573293515117,False,halal,grid_r04_c03
Tvxh4vWev1ak-WztOzus-g,Lebanese Eatery,"Middle Eastern, Mediterranean, Halal",4.3,71,$,40.6247,-74.1448,False,halal,grid_r04_c04
ORcz4SCz3GU1ngwrmBJ-Rg,Zara Forest Turkish Cousine,"Turkish, Desserts, Seafood",4.2,107,,40.62545247553686,-74.14702824888809,False,halal,grid_r04_c04
_w0J-VMPlFVfr_w2Ec45LA,The Buttery,"Hot Dogs, Burgers, Ice Cream & Frozen Yogurt",4.0,12,,40.613212,-74.122276,False,halal,grid_r04_c04
